"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"FTWWS2256_40A8F067EDAA","Verizon-FastClear","Verizon","allinone","greent","250","433","31","31",
"FTWWS2354_A0D3C1233B71","Verizon","Fort Worth","allinone","greent","152","433","31","31",
"FTWWS2356_A0D3C12CD19F","Verizon-Android","Verizon","allinone","greent","401","433","31","31",
"FTWWS2358_A0D3C10B5661","Verizon-FastClear","Verizon","allinone","greent","329","433","31","31",
"FTWWS2359_40A8F067EC15","Verizon-FGO","Verizon-FGO","allinone","greent","311","416","48","48",
"FTWWS2486_645106378D88","Verizon-FGO","Verizon-FGO","allinone","greent","268","416","48","48",
"FTWWS2487_C4346B618448","Verizon-FGO","Verizon-FGO","allinone","greent","338","465","N/A","N/A",
"FTWWS2488_A0481CAC7910","Verizon-FGO","Verizon-FGO","allinone","greent","274","416","48","48",
"FTWWS2505_A0D3C1236E41","Verizon-FGO","Verizon-FGO","allinone","greent","345","464","N/A","N/A",
"FTWWS2506_A0D3C12CD264","Verizon-FGO","Verizon-FGO","allinone","greent","309","464","N/A","N/A",
"FTWWS2507_A0D3C1231F40","Verizon-FGO","Verizon-FGO","allinone","greent","314","464","N/A","N/A",
"FTWWS2516_A0481CAC7945","Verizon-FGO","Verizon-FGO","allinone","greent","310","464","N/A","N/A",
"FTWWS2517_A0D3C124A8AA","Verizon-Android","Verizon","allinone","greent","399","433","31","31",
"FTWWS2564_A0D3C124A89C","Verizon-Android","Verizon","allinone","greent","409","433","31","31",
"FTWWS2586_C4346B5153D0","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS2601_C4346B52279F","Verizon-FGO","Verizon-FGO","allinone","greent","314","465","N/A","N/A",
"FTWWS9001_B8AEED739E30","Verizon-Robot","Verizon-Robot","allinone","greent","188","465","N/A","N/A",
"FTWWS9002_B8AEED734FB4","Verizon-Robot","Verizon-Robot","allinone","greent","377","465","N/A","N/A",
"FTWWS9003_B8AEED75D6A8","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9004_B8AEED7362E7","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9005_B8AEED75C91D","Verizon-Robot","Verizon-Robot","allinone","greent","166","465","N/A","N/A",
"FTWWS9006_B8AEED7329D5","Verizon-Robot","Verizon-Robot","allinone","greent","354","465","N/A","N/A",
"FTWWS9008_B8AEED75C951","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9009_B8AEED732585","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9011_B8AEED75EC17","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9013_B8AEED75C885","Verizon-Robot","Verizon-Robot","allinone","greent","360","465","N/A","N/A",
"FTWWS9014_B8AEED75EA2A","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9015_B8AEED75BD48","Verizon-Robot","Verizon-Robot","allinone","greent","353","465","N/A","N/A",
"FTWWS9016_B8AEED75C561","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9018_B8AEED75CAFB","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9019_B8AEED75E0F7","Verizon-Robot","Verizon-Robot","allinone","greent","349","465","N/A","N/A",
"FTWWS9020_B8AEED75EA0E","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9021_B8AEED75C8E0","Verizon-Robot","Verizon-Robot","allinone","greent","349","465","N/A","N/A",
"FTWWS9022_B8AEED75EF30","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9023_B8AEED75D6FC","Verizon-Robot","Verizon-Robot","allinone","greent","360","465","N/A","N/A",
"FTWWS9024_B8AEED730273","Verizon-Robot","Verizon-Robot","allinone","greent","354","465","N/A","N/A",
"FTWWS9025_B8AEED73472B","Verizon-Robot","Verizon-Robot","allinone","greent","363","465","N/A","N/A",
"FTWWS9026_B8AEED75ECCB","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9027_B8AEED75EAC6","Verizon-Robot","Verizon-Robot","allinone","greent","358","465","N/A","N/A",
"FTWWS9028_B8AEED73D5DA","Verizon-Robot","Verizon-Robot","allinone","greent","365","465","N/A","N/A",
"FTWWS9029_B8AEED758810","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9030_B8AEED737EF8","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9031_B8AEED75D804","Verizon-Robot","Verizon-Robot","allinone","greent","363","465","N/A","N/A",
"FTWWS9032_B8AEED75EA6A","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9033_B8AEED75D5D2","Verizon-Robot","Verizon-Robot","allinone","greent","354","465","N/A","N/A",
"FTWWS9034_B8AEED75C9EE","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9035_B8AEED741675","Verizon-Robot","Verizon-Robot","allinone","greent","352","465","N/A","N/A",
"FTWWS9036_B8AEED75ED40","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9037_B8AEED75CBE6","Verizon-Robot","Verizon-Robot","allinone","greent","390","465","N/A","N/A",
"FTWWS9038_B8AEED75EA53","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9039_B8AEED75C98F","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9040_B8AEED75CA8F","Verizon-Robot","Verizon-Robot","allinone","greent","364","465","N/A","N/A",
"FTWWS9041_B8AEED73038A","Verizon-Robot","Verizon-Robot","allinone","greent","331","465","N/A","N/A",
"FTWWS9042_B8AEED739DCC","Verizon-Robot","Verizon-Robot","allinone","greent","216","465","N/A","N/A",
"FTWWS9043_B8AEED731CDD","Verizon-Robot","Verizon-Robot","allinone","greent","351","465","N/A","N/A",
"FTWWS9044_B8AEED739B87","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9045_B8AEED732FFC","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9046_B8AEED732279","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9047_B8AEED75C909","Verizon-Robot","Verizon-Robot","allinone","greent","349","465","N/A","N/A",
"FTWWS9048_B8AEED75CCED","Verizon-Robot","Verizon-Robot","allinone","greent","165","465","N/A","N/A",
"FTWWS9049_B8AEED73D5A0","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9050_B8AEED734702","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9051_B8AEED75CCD9","Verizon-Robot","Verizon-Robot","allinone","greent","366","465","N/A","N/A",
"FTWWS9052_B8AEED736D42","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9053_B8AEED73620E","Verizon-Robot","Verizon-Robot","allinone","greent","349","465","N/A","N/A",
"FTWWS9054_B8AEED75C95E","Verizon-Robot","Verizon-Robot","allinone","greent","364","465","N/A","N/A",
"FTWWS9055_B8AEED73CF15","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9056_B8AEED75DD89","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9057_B8AEED75C8E6","Verizon-Robot","Verizon-Robot","allinone","greent","347","465","N/A","N/A",
"FTWWS9058_B8AEED734654","Verizon-Robot","Verizon-Robot","allinone","greent","303","465","N/A","N/A",
"FTWWS9059_B8AEED75EA4F","Verizon-Robot","Verizon-Robot","allinone","greent","330","465","N/A","N/A",
"FTWWS9060_B8AEED730709","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9061_B8AEED75EB12","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9062_B8AEED75BD05","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9063_B8AEED75CBB8","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9064_B8AEED75C93F","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9065_B8AEED75CCF2","Verizon-Robot","Verizon-Robot","allinone","greent","365","465","N/A","N/A",
"FTWWS9066_B8AEED736D69","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9067_B8AEED75CA71","Verizon-Robot","Verizon-Robot","allinone","greent","347","465","N/A","N/A",
"FTWWS9068_B8AEED7586A2","Verizon-Robot","Verizon-Robot","allinone","greent","347","465","N/A","N/A",
"FTWWS9070_B8AEED7E963E","Verizon-Robot","Verizon-Robot","allinone","greent","360","465","N/A","N/A",
"FTWWS9071_B8AEED7E920B","Verizon-Robot","Verizon-Robot","allinone","greent","359","465","N/A","N/A",
"FTWWS9072_B8AEED7E9A1D","Verizon-Robot","Verizon-Robot","allinone","greent","359","465","N/A","N/A",
"FTWWS9073_B8AEED7E99D1","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9074_B8AEED7E5222","Verizon-Robot","Verizon-Robot","allinone","greent","327","465","N/A","N/A",
"FTWWS9075_B8AEED7E977E","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9076_B8AEED7E9649","Verizon-Robot","Verizon-Robot","allinone","greent","357","465","N/A","N/A",
"FTWWS9077_B8AEED7E51C4","Verizon-Robot","Verizon-Robot","allinone","greent","359","465","N/A","N/A",
"FTWWS9078_B8AEED7E9A22","Verizon-Robot","Verizon-Robot","allinone","greent","358","465","N/A","N/A",
"FTWWS9079_B8AEED7E95C7","Verizon-Robot","Verizon-Robot","allinone","greent","363","465","N/A","N/A",
"FTWWS9080_B8AEED7E982D","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9081_B8AEED7E4FFE","Verizon-Robot","Verizon-Robot","allinone","greent","248","465","N/A","N/A",
"FTWWS9083_B8AEED7E9AC6","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9084_B8AEED7E4F7C","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9085_B8AEED7A8AE8","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9086_B8AEED7E9659","Verizon-Robot","Verizon-Robot","allinone","greent","188","465","N/A","N/A",
"FTWWS9087_B8AEED7E99DD","Verizon-Robot","Verizon-Robot","allinone","greent","362","465","N/A","N/A",
"FTWWS9088_B8AEED7E4F17","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9090_B8AEED7E9ADB","Verizon-Robot","Verizon-Robot","allinone","greent","188","465","N/A","N/A",
"FTWWS9091_B8AEED75EBD6","Verizon-Robot","Verizon-Robot","allinone","greent","353","465","N/A","N/A",
"FTWWS9092_B8AEED7E99B7","Verizon-Robot","Verizon-Robot","allinone","greent","359","465","N/A","N/A",
"FTWWS9093_B8AEED7E98BC","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9094_B8AEED75EBBD","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FTWWS9097_B8AEED7E99C8","Verizon-Robot","Verizon-Robot","allinone","greent","356","465","N/A","N/A",
"FTWWS9099_B8AEED75CAA4","Verizon-Robot","Verizon-Robot","allinone","greent","355","465","N/A","N/A",
"FUTURED-PC2_F01FAF252317","clover","irvine","allinone","greent","232","297","N/A","N/A",
"FUTUREDIAL-7_180373E01701","Apto Solutions","Atlanta","allinone","greent","132","232","0","0",
"FUTUREDIAL2_5CF9DD70A823","nexlink","eveleth","allinone","greent","189","232","N/A","N/A",
"GAMPDTA0314_180373368E18","Apto Solutions","Atlanta","allinone","greent","160","232","0","0",
"GAMPDTA0321_18037336F81C","Apto Solutions","Atlanta","allinone","greent","173","232","0","0",
"GREEN-T-PC_DCFE070883B4","best buy canada","Langley","allinone","greent","805","931","0","0",
"GREEN3-PC_18037387961E","best buy canada","Langley","allinone","greent","225","581","N/A","N/A",
"GREENT-MINI-480_0C4DE9BC8DAC","gazelle","louisville","allinone","greent","310","465","N/A","N/A",
"GREENT-MINI-481_0C4DE9BD4257","gazelle","louisville","allinone","greent","319","465","N/A","N/A",
"GREENT-MINI-482_A88E24A4DAFB","gazelle","louisville","allinone","greent","332","465","N/A","N/A",
"GREENT-MINI-483_0C4DE9BD3A33","gazelle","louisville","allinone","greent","323","465","N/A","N/A",
"GREENT-MINI-486_6C4008BE4112","gazelle","louisville","allinone","greent","803","931","N/A","N/A",
"GREENT-MINI-487_6C4008BE1D76","gazelle","louisville","allinone","greent","763","931","N/A","N/A",
"GREENT-MINI-488_6C4008BE52F4","gazelle","louisville","allinone","greent","744","931","N/A","N/A",
"GREENT-MINI-526_34363BD521A2","gazelle","louisville","allinone","greent","803","931","N/A","N/A",
"GREENT-MINI-527_60F81DBEDA72","gazelle","louisville","allinone","greent","794","931","N/A","N/A",
"GREENT-PC4_40167EAFA448","Give Back Wireless","San Diego","allinone","greent","141","232","57","232",
"GREENT-PC_60A44C22E23D","best buy canada","Langley","allinone","greent","1633","1862","N/A","N/A",
"GREENTPC1_40167EAFA3F2","Give Back Wireless","San Diego","allinone","greent","1434","1630","147","232",
"GREENTPC2-PC_40167E24EDA8","Give Back Wireless","San Diego","allinone","greent","130","232","81","232",
"GREENT_2_28E347C40879","US Mobile Phones","Brooklyn","allinone","greent","713","931","N/A","N/A",
"GREENT_3_18CF5EFDF19A","US Mobile Phones","Brooklyn","allinone","greent","114","222","N/A","N/A",
"GREENT_9CB654EC23D9","US Mobile Phones","Brooklyn","allinone","greent","1605","1862","N/A","N/A",
"GT-CLEAR1_78ACC0B7E1D2","HOBI","Dallas","allinone","greent","25","218","N/A","N/A",
"GT-CLEAR2_D4BED9A0185C","HOBI","Dallas","allinone","greent","275","446","N/A","N/A",
"HOBI-PC2_4437E656ABEE","HOBI","Dallas","allinone","greent","272","465","N/A","N/A",
"HOBI_FUTURE-PC_00224D5178FB","HOBI","Dallas","allinone","greent","251","465","N/A","N/A",
"HOME-PC_7427EAB5E84D","Litong_Japan_asia","Kanagawa","allinone_asia","GreenT","383","465","N/A","N/A",
"HPQA3_3464A91041E1","Futuredial Taiwan","Taiwan","allinone","greent","234","306","217","312",
"HP_DC4A3E71A7E8","Foxconn China","Foxconn","allinone","greent","63","100","176","182",
"HP_DC4A3E774C10","Foxconn China","Foxconn","allinone","greent","51","100","167","182",
"HYLATEAM1-PC_180373E01291","Apto Solutions","Atlanta","allinone","greent","103","232","N/A","N/A",
"IPHONE-PC_685D43E0C068","Brightstar HongKong","bstar_hongkong","allinone","greent","28","446","17","17",
"IPHONE-PC_685D43E0E020","Brightstar HongKong","bstar_hongkong","allinone","greent","279","446","17","17",
"IRT-04_4CCC6A1EBF34","MXmobiling","DocomoCS_Fukuoka","allinone_asia","iRT","418","454","N/A","N/A",
"IRT01_D8CB8A60AD4D","MXmobiling","DocomoCS_Fukuoka","allinone_asia","iRT","324","444","N/A","N/A",
"IRT02_D8CB8A60AD4B","MXmobiling","DocomoCS_Fukuoka","allinone_asia","iRT","348","454","N/A","N/A",
"IRT03_D8CB8A60ACD6","MXmobiling","DocomoCS_Fukuoka","allinone_asia","iRT","351","454","N/A","N/A",
"IRT_2025644AAF4C","US Mobile Phones","Brooklyn","allinone","greent","834","930","N/A","N/A",
"IRT_PC01_B083FE9E46BC","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","362","464","N/A","N/A",
"IRT_PC02_B083FE9E4487","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","434","464","N/A","N/A",
"IRT_PC03_B083FE9E133D","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","364","464","N/A","N/A",
"IRT_PC04_B083FE9E47D1","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","438","464","N/A","N/A",
"IRT_PC05_B083FE9E46C4","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","363","464","N/A","N/A",
"IRT_PC06_B083FE9E1409","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","362","464","N/A","N/A",
"IRT_PC07_B083FE9E144C","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","362","464","N/A","N/A",
"IRT_PC09_B083FE9DD3F5","","","","","363","464","N/A","N/A",
"IRT_PC10_B083FE84AC24","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","286","464","N/A","N/A",
"IRT_PC11_CC52AF492AA9","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","438","465","N/A","N/A",
"IRT_PC12_FC4DD4355C96","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","397","465","N/A","N/A",
"IRT_PC13_FC4DD4355CDF","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","426","465","N/A","N/A",
"IRT_PC16_80C16EFFBE76","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","192","224","0","5",
"IRT_PC17_78ACC09EDAC7","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","111","141","0","5",
"IRT_PC18_082E5F31B79B","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","195","224","0","5",
"IRT_PC19_F48E387ED590","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","323","464","N/A","N/A",
"IRT_PC23_64315027CA28","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","107","141","0","5",
"IRT_PC24_6431501D2C28","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","105","141","0","5",
"ITO-PC015-PC_F816541522A5","itochu_asia","tokyo","allinone_asia","GreenT","346","465","N/A","N/A",
"ITO-PC016-PC_1458D0B730C4","itochu_asia","tokyo","allinone_asia","GreenT","344","465","N/A","N/A",
"ITO-PC017-PC_F81654150833","itochu_asia","tokyo","allinone_asia","GreenT","347","465","N/A","N/A",
"ITO-PC019-PC_1458D0B7603B","itochu_asia","tokyo","allinone_asia","GreenT","346","461","N/A","N/A",
"ITO-PC022-PC_1458D0B730ED","itochu_asia","tokyo","allinone_asia","GreenT","348","465","N/A","N/A",
"ITO-PC023-PC_28D24464601B","itochu_asia","tokyo","allinone_asia","GreenT","332","452","N/A","N/A",
"ITO-PC024-PC_28D244645CCE","itochu_asia","tokyo","allinone_asia","GreenT","333","452","N/A","N/A",
"ITO-PC053-PC_64006A72001C","itochu_asia","tokyo","allinone_asia","GreenT","144","228","375","476",
"ITO-PC054-PC_64006A70BBED","itochu_asia","tokyo","allinone_asia","GreenT","138","228","375","476",
"ITO-PC055-PC_64006A70B243","itochu_asia","tokyo","allinone_asia","GreenT","144","228","330","476",
"ITO-PC056-PC_64006A720372","itochu_asia","tokyo","allinone_asia","GreenT","130","228","375","476",
"ITO-PC057-PC_64006A7062A7","itochu_asia","tokyo","allinone_asia","GreenT","136","228","375","476",
"ITO-PC058-PC_64006A707C3C","itochu_asia","tokyo","allinone_asia","GreenT","144","228","375","476",
"ITO-PC059-PC_64006A754B80","itochu_asia","tokyo","allinone_asia","GreenT","128","228","375","476",
"ITO-PC060-PC_64006A7133A6","itochu_asia","tokyo","allinone_asia","GreenT","137","228","375","476",
"ITO-PC061-PC_64006A7030CC","itochu_asia","tokyo","allinone_asia","GreenT","138","228","330","476",
"ITO-PC062-PC_64006A67A081","itochu_asia","tokyo","allinone_asia","GreenT","141","228","173","476",
"ITO-PC063-PC_8CDCD4322811","itochu_asia","tokyo","allinone_asia","GreenT","134","225","1","11",
"L022T06_002314236814","Sprint","Louisville","mobilq","irt","173","232","N/A","N/A",
"LEV2-1_78ACC0B7DD46","HOBI","Dallas","allinone","greent","372","446","N/A","N/A",
"LEV2-2_D4BED9A18E32","HOBI","Dallas","allinone","greent","160","223","N/A","N/A",
"LEV2-3_D4BED9A574C0","HOBI","Dallas","allinone","greent","168","223","N/A","N/A",
"LEV2-4_3CD92B53CA4C","HOBI","Dallas","allinone","greent","49","111","N/A","N/A",
"LEV3-1_78ACC0BA500F","HOBI","Dallas","allinone","greent","320","446","N/A","N/A",
"LI-D2UA2381CH1_D8D38594F64C","clover","tokyo","mobilq","irt","164","297","N/A","N/A",
"LI-D2UA317069S_8851FB7F8505","tangoe","Langley","mobilq","irt","347","465","N/A","N/A",
"LI-D2UA4341B6V_40A8F0A84F9F","tangoe","Langley","mobilq","irt","285","465","N/A","N/A",
"LI-D2UA4381FQC_8086F2A5AA05","Sprint","Louisville","mobilq","greent","333","465","N/A","N/A",
"LI-D2UA4381FRW_8086F2A401F5","newaya","bstar_hongkong","mobilq","irt","360","465","N/A","N/A",
"LI-D2UA4390KBG_C4346B6251C6","1","sunnyvale","mobilq","irt","169","238","N/A","N/A",
"LI-D2UA4390KD2_C4346B602C72","1","sunnyvale","mobilq","irt","87","238","N/A","N/A",
"LI-D2UA4390KDF_C4346B625238","tangoe","Langley","mobilq","greent","72","238","N/A","N/A",
"LI-D2UA4390KF9_C4346B62525D","tangoe","Langley","mobilq","greent","47","238","N/A","N/A",
"LI-D2UA4390KFC_C4346B62525B","tangoe","Langley","mobilq","greent","88","238","N/A","N/A",
"LI-D2UA4390KFD_C4346B5E7E4D","clover","tokyo","mobilq","greent","62","238","N/A","N/A",
"LI-D2UA4390KFG_C4346B5E7DE4","tangoe","Langley","mobilq","greent","73","238","N/A","N/A",
"LI-D2UA4390KFQ_C4346B5E7E20","1","sunnyvale","mobilq","irt","170","238","N/A","N/A",
"LI-D2UA4390KFW_C4346B625250","1","sunnyvale","mobilq","irt","49","238","N/A","N/A",
"LI-D2UA4390KGT_C4346B5E7DEB","1","sunnyvale","mobilq","irt","101","238","N/A","N/A",
"LI-D2UA4390KGY_C4346B5E7DE6","tangoe","Langley","mobilq","greent","85","238","N/A","N/A",
"LI-D2UA4390KH0_C4346B5E7DD7","tangoe","Langley","mobilq","greent","46","238","N/A","N/A",
"LI-D2UA4390KJ0_C4346B5E7DE2","1","sunnyvale","mobilq","irt","101","238","N/A","N/A",
"LI-D2UA4392H1H_C4346B644BE3","tangoe","Langley","mobilq","irt","100","238","N/A","N/A",
"LI-D2UA4392H1S_C4346B644BFD","tangoe","Langley","mobilq","irt","102","238","N/A","N/A",
"LI-D2UA4392H28_C4346B644BB2","tangoe","Langley","mobilq","irt","103","238","N/A","N/A",
"LI-D2UA4392H2F_C4346B606554","tangoe","Langley","mobilq","irt","98","238","N/A","N/A",
"LI-D2UA4392H2G_C4346B606552","tangoe","Langley","mobilq","irt","94","238","N/A","N/A",
"LI-D2UA4392H2H_C4346B606556","tangoe","Langley","mobilq","irt","87","238","N/A","N/A",
"LI-D2UA4392H2N_C4346B60A1F6","tangoe","Langley","mobilq","irt","97","238","N/A","N/A",
"LI-D2UA4392H2T_C4346B60A1F9","tangoe","Langley","mobilq","irt","95","238","N/A","N/A",
"LI-D2UA4392H33_C4346B60657A","tangoe","Langley","mobilq","irt","90","238","N/A","N/A",
"LI-D2UA4392H35_C4346B62494B","tangoe","Langley","mobilq","irt","83","238","N/A","N/A",
"LI-D2UA4392H37_C4346B60654B","tangoe","Langley","mobilq","irt","150","238","N/A","N/A",
"LI-D2UA4392H3B_C4346B60A21A","tangoe","Langley","mobilq","irt","86","238","N/A","N/A",
"LI-D2UA4392H3C_C4346B5E74EC","tangoe","Langley","mobilq","irt","100","238","N/A","N/A",
"LI-D2UA4392H3F_C4346B60A1C6","1","sunnyvale","mobilq","irt","171","238","N/A","N/A",
"LI-D2UA4392H3G_C4346B6023D9","1","sunnyvale","mobilq","irt","174","238","N/A","N/A",
"LI-D2UA4392H3R_C4346B606593","tangoe","Langley","mobilq","irt","88","238","N/A","N/A",
"LI-D2UA4392H3T_C4346B60A20D","tangoe","Langley","mobilq","irt","94","238","N/A","N/A",
"LI-D2UA4392H3Y_C4346B60A20A","1","sunnyvale","mobilq","irt","170","238","N/A","N/A",
"LI-D2UA4392H47_C4346B5E74E8","tangoe","Langley","mobilq","irt","94","238","N/A","N/A",
"LI-D2UA4392H4C_C4346B60A228","tangoe","Langley","mobilq","irt","100","238","N/A","N/A",
"LI-D2UA4392JG7_C4346B60653A","tangoe","Langley","mobilq","greent","71","238","0","0",
"LI-D2UA4392JGH_C4346B6065AB","tangoe","Langley","mobilq","greent","71","238","N/A","N/A",
"LI-D2UA4392JH2_C4346B60653B","1","sunnyvale","mobilq","irt","91","238","N/A","N/A",
"LI-D2UA4401676_8086F2BE1879","tangoe","Langley","mobilq","irt","318","465","N/A","N/A",
"LI-D2UA4461FV8_C4346B741CD6","Sprint","Louisville","mobilq","irt","100","238","N/A","N/A",
"LI-D2UA4461FVB_C4346B722022","Sprint","Louisville","mobilq","irt","53","238","N/A","N/A",
"LI-D2UA5170N4X_8CDCD43C07EA","tangoe","Langley","mobilq","irt","99","238","N/A","N/A",
"LI-D2UA5170N52_8CDCD4381615","tangoe","Langley","mobilq","irt","104","238","N/A","N/A",
"LI-D2UA5170N59_8CDCD4362D60","tangoe","Langley","mobilq","irt","94","238","N/A","N/A",
"LI-D2UA5170N5D2_8CDCD43C07ED","tangoe","Langley","mobilq","irt","114","238","N/A","N/A",
"LI-D2UA5170N5L_8CDCD43C07E9","tangoe","Langley","mobilq","irt","87","238","N/A","N/A",
"LI-DMXL1260PT3_984BE17EDB32","futuredial","smyrna","mobilq","irt","111","232","N/A","N/A",
"LI-DMXL1271RL4_984BE17D7E3C","tangoe","Langley","mobilq","irt","110","232","N/A","N/A",
"LI-DMXL1291V5K_984BE17DB713","tangoe","Langley","mobilq","irt","113","232","N/A","N/A",
"LI-DMXL1291V5V_984BE17DBA9A","tangoe","Langley","mobilq","irt","121","232","N/A","N/A",
"LI-DMXL1291V6D_984BE17DB962","tangoe","Langley","mobilq","irt","118","232","N/A","N/A",
"LI-DMXL1322HW2_9C8E99C95E1F","tangoe","Langley","mobilq","irt","243","297","N/A","N/A",
"LI-DMXL1500TBX_9C8E99D0321F","Sprint","Louisville","mobilq","irt","83","232","N/A","N/A",
"LI-DMXL1500TD_9C8E99D06B1B","clover","tokyo","mobilq","irt","131","232","N/A","N/A",
"LI-DMXL2061ZQS_9C8E99DDE11C","newaya","bstar_hongkong","mobilq","irt","589","698","N/A","N/A",
"LI-DMXL2061ZQT_9C8E99D16C6D","best buy canada","irvine","mobilq","greent","562","695","N/A","N/A",
"LI-DMXL2121HQT_9C8E99DCEC76","newaya","bstar_hongkong","mobilq","irt","165","297","N/A","N/A",
"LI-DMXL2121HVH_9C8E99DCEEE7","Sprint","Louisville","mobilq","irt","630","698","N/A","N/A",
"LI-DMXL2130S52_9C8E99DD1D45","tangoe","Langley","mobilq","irt","563","698","N/A","N/A",
"LI-DMXL2130S6D_9C8E99DD083C","clover","tokyo","mobilq","irt","590","698","N/A","N/A",
"LI-DMXL2152R03_9C8E99DDC256","newaya","bstar_hongkong","mobilq","irt","450","698","N/A","N/A",
"LI-DMXL2152R0N_9C8E99DDBA0E","clover","tokyo","mobilq","irt","607","698","N/A","N/A",
"LI-DMXL223000M_9C8E99E39A7B","best buy canada","irvine","mobilq","greent","448","695","N/A","N/A",
"LI-DMXL223006C_9C8E99E377D3","tangoe","Langley","mobilq","irt","634","698","N/A","N/A",
"LI-DMXL23517JC_D4C9EFD9033D","tangoe","Langley","mobilq","irt","155","297","N/A","N/A",
