"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"D022TFZ_D4C9EFD376BB","Sprint","Louisville","mobilq","greent","355","463","N/A","N/A",
"D022TG2_D4C9EFD37755","1","sunnyvale","mobilq","irt","401","463","N/A","N/A",
"D022TG4_D4C9EFD37682","1","sunnyvale","mobilq","irt","406","463","N/A","N/A",
"D022TGS_D4C9EFD376C1","tangoe","Langley","mobilq","irt","306","463","N/A","N/A",
"D022THR_D4C9EFD31D7D","clover","tokyo","mobilq","irt","303","463","N/A","N/A",
"D022THV_D4C9EFD31D9A","Sprint","Louisville","mobilq","greent","309","463","N/A","N/A",
"D022TJR_6C8814A6EA78","tangoe","Langley","mobilq","irt","299","463","N/A","N/A",
"D022TJY_6C8814A60074","tangoe","Langley","mobilq","irt","326","463","N/A","N/A",
"D022TKH_D4C9EFD31D86","1","sunnyvale","mobilq","irt","239","463","N/A","N/A",
"D022TKR_D4C9EFD31D8B","futuredial","smyrna","mobilq","irt","399","463","N/A","N/A",
"D022TKT_6C8814A5FD54","tangoe","Langley","mobilq","irt","311","463","N/A","N/A",
"D022TL0_D4C9EFD31D92","1","sunnyvale","mobilq","irt","375","463","N/A","N/A",
"D022TL1_D4C9EFD3ED83","Sprint","Louisville","mobilq","greent","363","463","N/A","N/A",
"D022TL2_D4C9EFD314E7","futuredial","smyrna","mobilq","irt","350","463","N/A","N/A",
"D022TLH_D4C9EFD31D2A","1","sunnyvale","mobilq","irt","312","463","N/A","N/A",
"D022TLT_D4C9EFD31D21","Sprint","Louisville","mobilq","greent","354","463","N/A","N/A",
"D023003X_9C8E99E39AEB","newaya","bstar_hongkong","mobilq","irt","548","695","N/A","N/A",
"D023005M_9C8E99E39A83","newaya","bstar_hongkong","mobilq","irt","584","695","N/A","N/A",
"D0271RL0_984BE17D7F68","newaya","bstar_hongkong","mobilq","irt","107","231","N/A","N/A",
"D0280RJD_9C8E99CA07C1","tangoe","Langley","mobilq","irt","153","296","N/A","N/A",
"D0280RLB_9C8E99D04887","newaya","bstar_hongkong","mobilq","irt","109","231","N/A","N/A",
"D73DFW2A5201YCM_8CDCD4544A54","assurant","Lewisville","allinone","greent","182","465","N/A","N/A",
"D73DFW2L5151NZ0_645106513922","assurant","Lewisville","allinone","greent","201","465","N/A","N/A",
"D73DFW2L51619SH_8CDCD42FB23B","assurant","Lewisville","allinone","greent","165","465","N/A","N/A",
"D73DFW2L51619SJ_645106513504","assurant","Lewisville","allinone","greent","87","465","N/A","N/A",
"D73DFW2L51619SL_645106513519","assurant","Lewisville","allinone","greent","93","465","N/A","N/A",
"D73DFW2L51619SP_8CDCD42FB232","assurant","Lewisville","allinone","greent","255","465","N/A","N/A",
"D73DFW2L5191KZ1_CC3D82746CC4","assurant","Lewisville","allinone","greent","160","465","N/A","N/A",
"D73DFW2L5191KZ8_CC3D82746CF6","assurant","Lewisville","allinone","greent","152","465","N/A","N/A",
"D73DFW2L5201NDG_ECB1D72DE5BE","assurant","Lewisville","allinone","greent","122","465","N/A","N/A",
"D73DFW2L521115M_8CDCD45440C7","assurant","Lewisville","allinone","greent","299","465","N/A","N/A",
"D73DFW2L52124WN_CC3D82A8C1D6","assurant","Lewisville","allinone","irt","95","465","N/A","N/A",
"D76MDT0A41521FG_A0481C9F7569","assurant","York","allinone","greent","301","465","N/A","N/A",
"D76MDT0A41521FH_A0481CA9830C","assurant","York","allinone","greent","302","465","N/A","N/A",
"D76MDT0A4252799_A0D3C1307D1E","assurant","York","allinone","greent","309","465","N/A","N/A",
"D76MDT0A425279B_A0D3C1307D28","assurant","York","allinone","greent","312","465","N/A","N/A",
"D76MDT0A425279C_40A8F03FD968","assurant","York","allinone","greent","276","465","N/A","N/A",
"D76MDT0A425279K_40A8F040913C","assurant","York","allinone","greent","308","465","N/A","N/A",
"D76MDT0A4281820_40A8F0441FE2","assurant","York","allinone","greent","232","465","N/A","N/A",
"D76MDT0A4281823_40A8F04615CC","assurant","York","allinone","greent","310","465","N/A","N/A",
"D76MDT0A4281824_40A8F04C800D","assurant","York","allinone","greent","320","465","N/A","N/A",
"D76MDT0A428182D_40A8F04C8045","assurant","York","allinone","greent","314","465","N/A","N/A",
"D76MDT0A428182K_40A8F040B857","assurant","York","allinone","greent","308","465","N/A","N/A",
"D76MDT0A428182L_40A8F0441FEB","assurant","York","allinone","greent","309","465","N/A","N/A",
"D76MDT0A43428SQ_40A8F053EED8","assurant","York","allinone","greent","304","465","N/A","N/A",
"D76MDT0A43428TQ_40A8F053EE4F","assurant","York","allinone","greent","290","465","N/A","N/A",
"D76MDT0A5081BSX_8CDCD427531B","assurant","York","allinone","greent","227","465","N/A","N/A",
"D76MDT0A5091VK4_8CDCD429D694","assurant","York","allinone","greent","319","465","N/A","N/A",
"D76MDT0A5141KK7_8CDCD43220AF","assurant","York","allinone","greent","307","465","N/A","N/A",
"D76MDT0A5141KKT_8CDCD42E6B86","assurant","York","allinone","greent","314","465","N/A","N/A",
"D76MDT0A55218Y0_5065F3499594","assurant","York","allinone","greent","228","465","N/A","N/A",
"D76MDT0A55218Y1_5065F3432D74","assurant","York","allinone","greent","305","465","N/A","N/A",
"D76MDT0A55218Y2_5065F33EB9EB","assurant","York","allinone","greent","307","465","N/A","N/A",
"D76MDT0A55218Y3_5065F33EB9F8","assurant","York","allinone","greent","238","465","N/A","N/A",
"D76MDT0A55218Y4_5065F3432D6D","assurant","York","allinone","greent","298","465","N/A","N/A",
"D76MDT0A55218Y5_5065F3432D75","assurant","York","allinone","greent","319","465","N/A","N/A",
"D76MDT0A55218Y6_5065F3432D71","assurant","York","allinone","greent","156","465","N/A","N/A",
"D76MDT0A55218YF_5065F3432D70","assurant","York","allinone","greent","312","465","N/A","N/A",
"D76MDT0GM1LKB2_1866DA24F837","assurant","York","allinone","greent","307","476","N/A","N/A",
"D76MDT0GM1PKB2_1866DA24E40F","assurant","York","allinone","greent","334","476","N/A","N/A",
"D76MDT0GM1RKB2_1866DA24F826","assurant","York","allinone","greent","314","476","N/A","N/A",
"D76MDT0GM1TKB2_1866DA24E529","assurant","York","allinone","greent","322","476","N/A","N/A",
"D76MDT0GM2LKB2_1866DA248AE3","assurant","York","allinone","greent","272","476","N/A","N/A",
"D76MDT0GM2MKB2_1866DA24F82F","assurant","York","allinone","greent","305","476","N/A","N/A",
"D76MDT0GM2QKB2_1866DA24A366","assurant","York","allinone","greent","335","476","N/A","N/A",
"D76MDT0GM2RKB2_1866DA24F56D","assurant","York","allinone","greent","330","476","N/A","N/A",
"D76MDT0GM2SKB2_1866DA24E626","assurant","York","allinone","greent","323","476","N/A","N/A",
"D76MDT0GM3LKB2_1866DA24DA74","assurant","York","allinone","greent","337","476","N/A","N/A",
"D76MDT0GM3MKB2_1866DA24F6A1","assurant","York","allinone","greent","314","476","N/A","N/A",
"D76MDT2A43428SG_40A8F053EE82","assurant","York","allinone","greent","284","465","N/A","N/A",
"D76MDT2A4411JVQ_C4346B6AC266","assurant","York","allinone","greent","329","465","N/A","N/A",
"D76MDT2A5081BW4_8CDCD4275375","assurant","York","allinone","greent","307","465","N/A","N/A",
"D76MDT2A5141KK0_8CDCD431617F","assurant","York","allinone","greent","310","465","N/A","N/A",
"D76MDT2A5141KK3_8CDCD435C707","assurant","York","allinone","greent","326","465","N/A","N/A",
"DATASTATION4_D8CB8A2744D9","the wireless alliance","The Wireless Alliance","allinone","greent","238","451","N/A","N/A",
"DATAWIPE1_F4CE4610E970","Encore Canada","Ontario","allinone","greent","179","297","N/A","N/A",
"DATAWIPE2_18A905F4E430","Encore Canada","Ontario","allinone","greent","50","140","0","6",
"DATAWIPE3_18A905F6DEAB","Encore Canada","Ontario","allinone","greent","79","140","0","6",
"DELL-PC_AC72898FFAF7","best buy canada","Langley","allinone","greent","105","581","0","0",
"DELL-PC_AC728993D6A4","best buy canada","Langley","allinone","greent","459","581","N/A","N/A",
"DESKTOP-L9S197I_18037387CB60","best buy canada","Langley","allinone","greent","416","581","N/A","N/A",
"DESKTOP-USJ78RC_B8AEEDD8B405","HOBI","Dallas","allinone","greent","91","111","N/A","N/A",
"DEV_MONITOR-PC_00187D1C2E86","Futuredial_Golden","Sunnyvale","allinone","greent","347","465","N/A","N/A",
"DFW-D-IT-0858_9457A5EE2527","Foxconn","Foxconn","allinone","greent","383","465","N/A","N/A",
"DFW-D-IT-0860_9457A5ED76CB","Foxconn","Foxconn","allinone","greent","386","464","N/A","N/A",
"DFW-IT-0731_64006A488308","Foxconn","Foxconn","allinone","greent","431","465","N/A","N/A",
"DFW-IT-0742_64006A456D42","Foxconn","Foxconn","allinone","greent","382","465","N/A","N/A",
"DFW-IT-0753_64006A456D91","Foxconn","Foxconn","allinone","greent","402","465","N/A","N/A",
"ECOATM-PC_A41F72723330","gazelle","louisville","allinone","greent","203","464","N/A","N/A",
"ECS_TESTPC_D4BED99A2749","Futuredial Nanjing","CETI Amazon","25","31","114","232","0","0",
"EDEPC038_848F69F7BA82","nexlink","eveleth","allinone","greent","131","219","N/A","N/A",
"ESVPDPC199_6C0B840B0D04","Encore Repair","Simi Valley","allinone","greent","822","918","N/A","N/A",
"FDPC_4437E66B7527","HOBI","Dallas","allinone","greent","393","465","0","0",
"FD_64510655D717","Litong_Japan_asia","Kanagawa","allinone_asia","GreenT","131","224","1","11",
"FTWWS1501_C4346B548AD0","Verizon-FastClear","Verizon","allinone","greent","216","433","31","31",
"FTWWS1502_40A8F067EDAC","Verizon-Android","Verizon","allinone","greent","411","433","31","31",
"FTWWS1503_40A8F0645C9B","Verizon","Fort Worth","allinone","greent","100","433","31","31",
"FTWWS1504_C4346B52111D","Verizon-Android","Verizon","allinone","greent","322","433","31","31",
"FTWWS1507_40A8F0645C4B","Verizon-FastClear","Verizon","allinone","greent","141","416","N/A","N/A",
"FTWWS1509_40A8F067ECF9","Verizon-FastClear","Verizon","allinone","greent","232","433","31","31",
"FTWWS1510_40A8F0645C45","Verizon","Fort Worth","allinone","greent","159","433","31","31",
"FTWWS1511_C4346B515661","Verizon","Fort Worth","allinone","greent","100","433","N/A","N/A",
"FTWWS1513_C4346B548AD1","Verizon-FastClear","Verizon","allinone","greent","155","416","N/A","N/A",
"FTWWS1514_C4346B548B1D","Verizon","Fort Worth","allinone","greent","99","433","31","31",
"FTWWS1515_40A8F067EE0B","Verizon-FastClear","Verizon","allinone","greent","110","433","31","31",
"FTWWS1516_C4346B548ADA","Verizon","Fort Worth","allinone","greent","233","433","31","31",
"FTWWS1518_40A8F067EDB4","Verizon","Fort Worth","allinone","greent","97","433","31","31",
"FTWWS1519_40A8F067EE00","Verizon-FGO","Verizon-FGO","allinone","greent","317","464","N/A","N/A",
"FTWWS1526_40A8F067ECFE","Verizon-FastClear","Verizon","allinone","greent","296","433","31","31",
"FTWWS1529_40A8F067EDC9","Verizon-Android","Verizon","allinone","greent","401","433","31","31",
"FTWWS1531_40A8F067EB29","Verizon-FastClear","Verizon","allinone","greent","221","433","31","31",
"FTWWS1535_40A8F067EDCE","Verizon-FastClear","Verizon","allinone","greent","220","433","31","31",
"FTWWS1537_C4346B548AEE","Verizon-FastClear","Verizon","allinone","greent","292","433","31","31",
"FTWWS1539_40A8F0645C4F","Verizon-FastClear","Verizon","allinone","greent","80","433","31","31",
"FTWWS1541_40A8F067EE0F","Verizon-FGO","Verizon-FGO","allinone","greent","328","464","N/A","N/A",
"FTWWS1543_40A8F067EE15","Verizon-FastClear","Verizon","allinone","greent","216","433","31","31",
"FTWWS1544_C4346B548B33","Verizon-FastClear","Verizon","allinone","greent","272","465","N/A","N/A",
"FTWWS1545_40A8F0645C3D","Verizon-FGO","Verizon-FGO","allinone","greent","359","465","N/A","N/A",
"FTWWS1548_40A8F0645CA2","Verizon-FastClear","Verizon","allinone","greent","223","433","31","31",
"FTWWS1549_C4346B548B2E","Verizon","Fort Worth","allinone","greent","165","433","31","31",
"FTWWS1550_40A8F0645C62","Verizon","Fort Worth","allinone","greent","100","433","31","31",
"FTWWS1552_40A8F067EE14","Verizon-FastClear","Verizon","allinone","greent","300","433","31","31",
"FTWWS1553_40A8F067EE13","Verizon-FastClear","Verizon","allinone","greent","173","433","31","31",
"FTWWS1554_C4346B548AC9","Verizon-FastClear","Verizon","allinone","greent","320","433","31","31",
"FTWWS1555_40A8F0645C5D","Verizon","Fort Worth","allinone","greent","259","433","31","31",
"FTWWS1556_C4346B548B2C","Verizon","Fort Worth","allinone","greent","264","433","31","31",
"FTWWS1559_40A8F0645C4A","Verizon-FastClear","Verizon","allinone","greent","311","433","31","31",
"FTWWS1560_40A8F0645C83","Verizon-FastClear","Verizon","allinone","greent","32","433","31","31",
"FTWWS1561_C4346B548AF0","Verizon-FastClear","Verizon","allinone","greent","315","433","31","31",
"FTWWS1562_40A8F0645CA4","Verizon-Android","Verizon","allinone","greent","406","433","31","31",
"FTWWS1563_C4346B548AD2","Verizon","Fort Worth","allinone","greent","97","433","31","31",
"FTWWS1564_40A8F0645C9E","Verizon","Fort Worth","allinone","greent","233","433","31","31",
"FTWWS1565_40A8F067EE07","Verizon","Fort Worth","allinone","greent","99","433","31","31",
"FTWWS1566_40A8F0645BFF","Verizon-FastClear","Verizon","allinone","greent","220","433","31","31",
"FTWWS1570_40A8F067EDFD","Verizon","Fort Worth","allinone","greent","100","433","31","31",
"FTWWS1571_40A8F0645C61","Verizon-FastClear","Verizon","allinone","greent","294","433","31","31",
"FTWWS1573_C4346B548B32","Verizon-FastClear","Verizon","allinone","greent","159","433","31","31",
"FTWWS1576_40A8F067EDB7","Verizon","Fort Worth","allinone","greent","158","433","31","31",
"FTWWS1577_40A8F0645C44","Verizon-FastClear","Verizon","allinone","greent","227","433","31","31",
"FTWWS1578_40A8F067ED13","Verizon-FGO","Verizon-FGO","allinone","greent","319","465","N/A","N/A",
"FTWWS1579_40A8F0645C95","Verizon-FastClear","Verizon","allinone","greent","296","433","31","31",
"FTWWS1581_40A8F0645C84","Verizon-FastClear","Verizon","allinone","greent","232","433","31","31",
"FTWWS1583_40A8F0645C98","Verizon-FGO","Verizon-FGO","allinone","greent","305","465","N/A","N/A",
"FTWWS1590_40A8F067EDBB","Verizon-FastClear","Verizon","allinone","greent","184","433","31","31",
"FTWWS1591_40A8F0645C60","Verizon-FastClear","Verizon","allinone","greent","323","433","31","31",
"FTWWS1624_A0D3C10B565D","Verizon-FastClear","Verizon","allinone","greent","74","433","31","31",
"FTWWS1631_A0D3C124A8D5","Verizon-FGO","Verizon-FGO","allinone","greent","272","416","48","48",
"FTWWS16355_A0481CACEFF0","Verizon","Fort Worth","allinone","greent","97","433","31","31",
"FTWWS1690_C4346B57C3F6","Verizon-FastClear","Verizon","allinone","greent","328","433","31","31",
"FTWWS1701_C4346B515403","Verizon-FastClear","Verizon","allinone","greent","175","433","31","31",
"FTWWS1703_C4346B5225BC","Verizon-FastClear","Verizon","allinone","greent","73","433","31","31",
"FTWWS1704_C4346B5153F3","Verizon-FastClear","Verizon","allinone","greent","70","433","31","31",
"FTWWS1705_C4346B52257B","Verizon-Android","Verizon","allinone","greent","384","416","N/A","N/A",
"FTWWS1711_C4346B54881D","Verizon-FastClear","Verizon","allinone","greent","323","433","31","31",
"FTWWS1713_40A8F067EAF3","Verizon-FastClear","Verizon","allinone","greent","317","433","31","31",
"FTWWS1714_C4346B515384","Verizon-FastClear","Verizon","allinone","greent","84","433","31","31",
"FTWWS1715_40A8F0645919","Verizon-FastClear","Verizon","allinone","greent","72","433","31","31",
"FTWWS1716_C4346B520EFE","Verizon-FastClear","Verizon","allinone","greent","84","433","31","31",
"FTWWS1721_C4346B51540E","Verizon-FastClear","Verizon","allinone","greent","327","433","31","31",
"FTWWS1722_C4346B548836","Verizon-FastClear","Verizon","allinone","greent","350","465","N/A","N/A",
"FTWWS1723_A0481CAC7884","Verizon-FastClear","Verizon","allinone","greent","231","433","31","31",
"FTWWS1736_C4346B54A595","Verizon-FastClear","Verizon","allinone","greent","210","416","N/A","N/A",
